Refs,Value,Footprint,Qty,DNP,Assembly Status,LCSC Part #,BOM Value
J12,1×5P 2.54mm母排,easyedapro:HDR-TH_5P-P2.54-V-F,1,,POST,C50950,1×5P 2.54mm母排
J13,1×5P 2.54mm母排,easyedapro:HDR-TH_5P-P2.54-V-F,1,,POST,C50950,1×5P 2.54mm母排
